number,name
01H-4-12,室蘭市無線赤十字奉仕団
02-1-1,南部アマチュア無線クラブ
02-1-3,JARL弘前アマチュア無線クラブ
02-1-4,ＪＡＲＬ青森クラブ
02-1-5,アマチュア無線十和田クラブ
02-1-9,八戸アマチュア無線クラブ
02-1-12,五戸地方アマチュア無線クラブ
02-4-4,オール青森ＤＸアソシエーション
02-4-6,青森コンテストクラブ
02-4-9,ＣＱ津軽ハムクラブ
02-4-14,日本赤十字社青森県支部アマチュア無線奉仕団
03-1-1,アマチュア無線盛岡クラブ
03-1-6,ＪＡＲＬグリーンクラブ
03-1-8,宮古アマチュア無線クラブ
03-1-9,いさわクラブ
03-1-12,久慈ラジオクラブ
03-1-14,ＪＡＲＬ遠野アマチュア無線クラブ
03-1-16,陸前高田アマチュア無線クラブ
03-1-22,滝沢アマチュア無線クラブ
03-1-24,北奥羽アマチュア無線クラブ
03-2-4,県立盛岡第一高等学校無線部
03-4-8,奥州アマチュア無線クラブ
04-1-1,秋田アマチュア無線クラブ
04-1-12,能代アマチュア無線クラブ
04-1-13,大潟アマチュア無線クラブ
04-1-14,雄和アマチュア無線クラブ
04-2-14,秋田県立横手清陵学院高校　無線部
04-3-7,秋田市役所アマチュア無線クラブ
04-4-4,秋田ＤＸアソシエーション
04-4-12,コミニケーションハムクラブ
04-4-18,本荘ハイソサエティーアマチュア無線クラブ
04-4-19,秋田県アマチュア無線アクティビティ協会
04-4-26,千秋アマチュア無線倶楽部
04-4-28,秋田県アマチュア無線赤十字奉仕団
05-1-2,ＪＡＲＬ酒田クラブ
05-1-3,ＪＡＲＬ山形クラブ
05-1-4,ＪＡＲＬ鶴岡クラブ
05-1-5,ＪＡＲＬ東根市アマチュア無線クラブ
05-1-7,南陽アマチュア無線クラブ
05-1-8,ＪＡＲＬ尾花沢クラブ
05-1-13,ＪＡＲＬ天童クラブ
05-1-18,米沢アマチュア無線クラブ
05-4-5,山形こまくさハムクラブ
05-4-6,山形県ＵＨＦグループ
05-4-14,山形宮城ＣＷ愛好会
06-1-1,石巻アマチュア無線クラブ
06-1-2,気仙沼アマチュア無線クラブ
06-1-3,日本アマチュア無線連盟古川クラブ
06-1-4,仙台アマチュア無線クラブ
06-1-6,ＪＡＲＬくりこまクラブ
06-1-7,名取アマチュア無線クラブ
06-1-8,蔵王アマチュア無線クラブ
06-1-9,登米地域アマチュア無線クラブ
06-1-11,亘理アマチュア無線クラブ
06-1-14,ＪＡＲＬ泉クラブ
06-1-16,東松島市アマチュア無線クラブ
06-2-1,東北大学アマチュア無線クラブ
06-2-4,東北工業大学電子技術研究会
06-2-6,国立仙台高専広瀬アマチュア無線クラブ
06-2-8,放送大学アマチュア無線クラブ
06-4-2,宮城アマチュア無線クラブ
06-4-8,宮城メディカルハムクラブ
06-4-12,ハムクラブ寿限無
06-4-18,宮城アウトドアハムクラブ
06-4-23,仙台チューニングＤＸクラブ
06-4-24,東北デジタル通信愛好会
06-4-26,栗原アマチュア無線クラブ
06-4-27,Five9 Fun Club
07-1-1,ＪＡＲＬいわきクラブ
07-1-2,日本アマチュア無線連盟郡山クラブ
07-1-3,ＪＡＲＬ福島アマチュア無線クラブ
07-1-5,日本アマチュア無線連盟相馬クラブ
07-1-6,日本アマチュア無線連盟小名浜クラブ
07-1-13,ＪＡＲＬ船引無線クラブ
07-1-14,アマチュア無線クラブかじか
07-1-19,北会津無線クラブ
07-1-27,猪苗代れいくアマチュア無線クラブ
07-1-30,福島県中央アマチュア無線クラブ
07-1-31,ＪＡＲＬ常葉クラブ
07-1-33,あいづ葵アマチュア無線クラブ
07-4-1,東北HAM大昭会
08-1-2,ＪＡＲＬ新発田クラブ
08-1-3,豊栄アマチュア無線クラブ
08-1-5,ＪＡＲＬ五泉クラブ
08-1-6,弥彦ハムクラブ
08-1-9,見附アマチュア無線クラブ
08-1-11,ＪＡＲＬ長岡アマチュア無線クラブ
08-1-16,ＪＡＲＬ上越クラブ
08-1-17,ＪＡＲＬ糸魚川クラブ
08-1-19,六日町クラブ
08-1-20,ＪＡＲＬ新井クラブ
08-1-21,小須戸クラブ
08-1-22,新津クラブ
08-1-23,水原アマチュア無線クラブ
08-1-25,田上クラブ
08-1-27,ＪＡＲＬ南佐渡クラブ
08-4-10,長岡レピータ愛好会
08-4-14,西新潟クラブ
08-4-15,新潟ステイハムクラブ
08-4-16,新潟アワードハンターズクラブ
08-4-26,米山ＨＦクラブ
08-4-27,北雪ＪＡＰＡＮアマチュア無線クラブ
08-5-1,ボーイスカウト新潟連盟アマチュア無線クラブ
09-1-1,上田アマチュア無線クラブ
09-1-2,岡谷アマチュア無線クラブ
09-1-3,長野ハムクラブ
09-1-5,松本アマチュア無線クラブ
09-1-8,駒ケ根アマチュア無線クラブ
09-1-12,飯田アマチュア無線クラブ
09-1-13,須坂アマチュア無線クラブ
09-1-16,下諏訪アマチュア無線クラブ
09-1-18,ＪＡＲＬ安曇野クラブ
09-1-20,大北ハムクラブ
09-1-22,ＪＡＲＬ松川アマチュア無線クラブ
09-1-25,木曽ハムクラブ
09-1-26,長野善光寺平ハムクラブ
09-1-29,北信州ＹＹアマチュア無線クラブ
09-1-30,長野アマチュア無線クラブ
09-4-3,真田六文銭クラブ
09-4-7,信州７０愛好会
09-4-15,長野ＡＲＤＦクラブ
09-4-16,ザ・タイホクコンテスターズ
09-4-17,長野ブルースカイハムクラブ
09-4-20,長野県電信愛好会
09-4-24,上小レピータ同好会
09-4-26,長野アクティブハムクラブ
09-4-30,SOTA長野
09-4-31,大桑村災害ボランティアアマチュア無線クラブ
09-4-32,東館山レピータ
10-1-2,大井町クラブ
10-1-4,武蔵野クラブ
10-1-9,千代田クラブ
10-1-10,三文字クラブ
10-1-11,はじっこクラブ
10-1-12,八王子市アマチュア無線クラブ
10-1-13,府中アマチュア無線クラブ
10-1-15,えみげんクラブ
10-1-32,中央クオリティー
10-1-35,青梅アマチュア無線クラブ
10-1-45,新千代田クラブ
10-1-49,目黒アマチュア無線同好会
10-1-51,中野アマチュア無線クラブ
10-1-55,ＪＡＲＬ八丈島クラブ
10-1-63,小平市アマチュア無線クラブ
10-1-67,多摩無線クラブ
10-1-70,祖師谷ハムエンジニアリング
10-1-75,奥多摩アマチュア無線クラブ
10-1-79,東大和市アマチュア無線クラブ
10-1-85,桑の実ハムクラブ
10-1-88,国立アマチュア無線クラブ
10-1-90,福生アマチュア無線クラブ
10-1-94,東村山アマチュア無線クラブ
10-1-97,新宿新都心ハムクラブ
10-1-100,武蔵野市アマチュア無線同好会
10-1-101,板橋区立教育科学館アマチュア無線クラブ
10-1-103,東京アマチュア無線ネットワーク
10-1-107,オリオンＹＱＹ
10-1-109,調布アマチュア無線クラブ
10-1-110,昭島市アマチュア無線同好会
10-1-111,由木東住民協議会アマチュア無線クラブ
10-1-112,稲城アマチュア無線クラブ
10-1-113,立川市アマチュア無線クラブ
10-1-114,豊島区アマチュア無線協議会
10-1-115,杉並区アマチュア無線クラブ
10-2-1,学習院ラジオグループ
10-2-2,電通大クラブ
10-2-3,東京電機大学アマチュア無線クラブ
10-2-11,東京大学アマチュア無線クラブ
10-2-33,中央大学アマチュア無線クラブ
10-2-47,錦城高等学校理科部無線班
10-2-73,東京工科大学無線研究部ＯＢ会
10-2-80,多摩科学技術高校無線工作部
10-2-85,学習院中等科ラジオグループ
10-2-86,中根橋小学校アマチュア無線クラブ
10-2-87,三鷹中等教育学校　理数研究会
10-2-88,東京科学大学無線研究部
10-2-89,日本航空学園青梅キャンパス無線クラブ
10-3-1,ＮＴＶハムクラブ
10-3-2,テレビ東京ハムクラブ
10-3-3,おほりばたクラブ
10-3-11,テレビ朝日アマチュア無線クラブ
10-3-39,沖電気東京地区アマチュア無線クラブ
10-3-44,ＩＰＣＣハムクラブ
10-3-49,ＴＤＫアマチュア無線倶楽部
10-3-50,東芝府中アマチュア無線クラブ
10-3-53,三鷹市役所アマチュア無線クラブ
10-3-55,BIPROGYハムクラブ
10-3-58,スカイタワー西東京アマチュア無線クラブ
10-3-61,日本アイ・ビー・エム無線クラブ
10-3-67,横河電機アマチュア無線部
10-3-70,損保ジャパンアマチュア無線クラブ
10-3-72,東京朝日アマチュア無線クラブ
10-3-73,世田谷区役所アマチュア無線クラブ
10-3-74,八重洲無線ハムクラブ
10-3-75,KDDIアマチュア無線クラブ
10-3-76,りそなグループアマチュア無線クラブ
10-3-77,NHK東京アマチュア無線クラブ
10-3-78,マンション管理士無線クラブ
10-3-79,ＮＥＣ玉川アマチュア無線クラブ
10-3-80,情報通信研究機構アマチュア無線クラブ
10-4-2,Japan Ladies Radio Society
10-4-15,Ｚ
10-4-24,三鷹ＱＳＹグループ
10-4-34,ＪＡＳＣ
10-4-39,西東京ネットワーク
10-4-56,テレビジャパン
10-4-57,１０ＧＨｚ同好会
10-4-68,全国ＣＷ同好会
10-4-70,町田・相模原ネットクラブ
10-4-76,ＡＰＯＬＬＯ　ＨＡＭ　ＣＬＵＢ
10-4-77,トンツー講座連絡会
10-4-80,芙蓉懇談会アマチュア無線クラブ
10-4-92,アマチュア　アイディアクラブ
10-4-99,ＪＡＳＣ１エリアクラブ
10-4-113,全日本コンテスト愛好会
10-4-114,２ｍ．ＳＳＢ．ＤＸ．クラブ
10-4-115,アウト・ドア
10-4-122,全国いかりや連合
10-4-133,グリーンゾーンクラブ
10-4-138,早稲田大学ＯＢ会
10-4-139,インターナショナルアワードチェイサークラブ
10-4-141,ＦＡＲ　ＥＡＳＴ　ＤＸ－ＰＬＯＩＴＥＲＳ
10-4-145,Ａ１　ＣＬＵＢ
10-4-146,日本ロータリーハムクラブ
10-4-148,無線通信を愛好する法律家協会
10-4-149,２２世紀アマチュア無線クラブ
10-4-151,JARL QRP CLUB
10-4-152,うたたねＯＫコンテストクラブ
10-4-154,ビニールはうす
10-4-155,ホタテコンテストクラブ
10-5-1,ボーイスカウト文京６団ハムクラブ
10-5-2,ボーイスカウト文京１団アマチュア無線クラブ
10-5-3,文京５団アマチュア無線クラブ
10-5-4,日本ボーイスカウトアマチュア無線クラブ
10-5-5,日本ボーイスカウトアマチュア無線クラブ東京
10-5-6,日本ボーイスカウト東京連盟アマチュア無線クラブ
11-1-1,ＪＡＲＬ鎌倉クラブ
11-1-2,ＪＡＲＬ横須賀クラブ
11-1-5,日本アマチュア無線連盟横浜クラブ
11-1-6,平塚地域アマチュア無線クラブ
11-1-11,大和アマチュア無線クラブ
11-1-12,ＪＡＲＬ横浜西クラブ
11-1-13,秦野アマチュア無線クラブ
11-1-17,横浜みどりクラブ
11-1-18,日本アマチュア無線連盟神奈川クラブ
11-1-20,アマチュア無線横浜金沢クラブ
11-1-27,ローカルクラブ
11-1-28,保土ケ谷クラブ
11-1-30,横浜都筑アマチュア無線倶楽部
11-1-39,フタバハムクラブ
11-1-43,座間アマチュア無線クラブ
11-1-57,ＪＡＲＬ横浜磯子クラブ
11-1-58,戸塚アマチュア無線クラブ
11-1-64,横浜鶴見クラブ
11-1-65,横浜シーサイドハムクラブ
11-1-68,横浜青葉無線クラブ
11-1-69,川崎ハムクラブ
11-1-70,あさひ無線愛好会
11-1-71,横浜南無線クラブ
11-1-72,茅ヶ崎セフティコミュニティアマチュア無線クラブ
11-1-73,高座無線連絡会
11-1-74,伊勢原地域アマチュア無線クラブ
11-1-75,さむかわアマチュア無線クラブ
11-2-1,慶応義塾高等学校電子工学研究会
11-2-34,県立湘南高等学校アマチュア無線クラブ
11-2-35,海洋科学高等学校電子研究サークル
11-2-36,湘南工科大学
11-2-37,神奈川県立磯子工業高等学校電気研究部
11-2-38,神奈川県立川崎工科高等学校アマチュア無線部
11-2-39,神奈川県立藤沢工科高等学校電気研究部アマチュア無線クラブ
11-2-40,海老名市立柏ヶ谷中学校技術・家庭科部
11-3-9,横浜市役所無線クラブ
11-3-20,三菱電機鎌倉アマチュア無線クラブ
11-3-28,ＮＴＴ　Ｒ＆Ｄハムクラブ
11-3-34,はまかぜクラブ
11-3-36,相模原市役所アマチュア無線クラブ
11-3-49,横浜ハムグループ
11-3-52,アンリツ厚木アマチュア無線クラブ
11-3-53,東芝アマチュア無線クラブ
11-3-54,日産自動車テクニカルセンターアマチュア無線クラブ
11-4-10,横浜ニコニコクラブ
11-4-12,ジャパンアワードハンターズグループ
11-4-34,鉄道友の会無線サークル
11-4-35,仲よし水曜会ハムクラブ
11-4-51,メリットファイブメンバーズハムクラブ
11-4-58,さくらクラブ
11-4-59,ＪＡＲＬ南横浜
11-4-60,ＳＡＧＡＭＩ－ＮＥＴ
11-4-63,ハムランドアマチュア無線クラブ
11-4-64,おもいっきりとばそう会
11-4-72,川崎市アマチュア無線情報ネットワーク
11-4-76,５９９　Ｃｏｎｔｅｓｔ　Ｃｌｕｂ　Ｊａｐａｎ
11-4-78,きゅうあ～るぴぃ～コミュニティ
11-4-80,Yokohama Nightwave Radio Ham Club
11-4-82,全日本長中波倶楽部
11-4-83,法政ラジオＯＢ会
11-4-84,ＦＭカオン・アマチュア無線クラブ
11-4-85,日赤神奈川無線救急隊
11-4-86,横須賀市アマ無線協議会
11-4-87,がやっこハムクラブ
12-1-1,房総アマチュアラジオクラブ
12-1-15,四街道アマチュア無線クラブ
12-1-17,江戸川台アマチュア無線クラブ
12-1-19,東金アマチュア無線クラブ
12-1-25,多古アマチュア無線クラブ
12-1-43,なのはなクラブ
12-1-45,ちはら台アマチュア無線クラブ
12-1-46,船橋市アマチュア無線クラブ
12-1-47,長柄ヒルズグループ
12-1-48,香取アマチュア無線クラブ
12-1-49,柏沼南アマチュア無線クラブ
12-1-51,外房ネットワークアマチュア無線クラブ
12-1-52,我孫子アマチュア無線クラブ
12-4-2,白穂クリーニングハムクラブ
12-4-7,東京湾ハムクラブ
12-4-29,ＣＣＮＳ
12-4-31,箒星ハムクラブ
12-4-32,上総マイクロウェーブクラブ
12-4-34,流山アマチュア無線クラブ
12-4-36,フライトハムクラブ
12-4-37,天下を取るラジオクラブ
12-4-38,7087無線通信部隊
12-4-39,アマチュア無線を趣味とする有志の会
12-5-1,ボーイスカウト千葉県連盟アマチュア無線クラブ
13-1-1,アマチュア無線熊谷クラブ
13-1-3,川口アマチュア無線クラブ連合会
13-1-4,鴻巣アマチュア無線連合会
13-1-7,草加アマチュア無線クラブ
13-1-9,本庄アマチュア無線クラブ
13-1-13,ふじみ野アマチュア無線クラブ
13-1-14,浦和アマチュア無線クラブ
13-1-19,大宮アマチュア無線連盟
13-1-22,東松山アマチュア無線クラブ
13-1-23,所沢アマチュア無線クラブ
13-1-24,川越アマチュア無線クラブ
13-1-26,坂戸アマチュア無線クラブ
13-1-29,深谷アマチュア無線クラブ
13-1-40,ＪＡＲＬ越谷無線クラブ
13-1-46,防災ＮＥＴ鳩山
13-1-47,入間市アマチュア無線クラブ
13-1-48,新座市アマチュア無線クラブ
13-1-49,吉川市アマチュア無線クラブ
13-1-50,三郷アマチュア無線クラブ
13-1-51,狭山アマチュア無線クラブ
13-1-52,朝霞アマチュア無線クラブ
13-1-54,らんざんハムネット
13-1-55,久喜アマチュア無線クラブ
13-1-56,アールジュウロクフレンドシップラジオ
13-2-1,日本工業大学無線部
13-2-3,狭山工業高校アマチュア無線クラブ
13-2-4,飯能第一中学校アマチュア無線局
13-2-5,芝浦工業大学無線研究部
13-3-2,埼玉県警察ハムクラブ
13-3-13,東芝深谷アマチュア無線クラブ
13-3-22,ホンダドリームハムクラブ
13-3-24,HECハムクラブ
13-4-3,埼玉ローカル無線クラブ
13-4-7,秩父ＤＸクラブ
13-4-18,フリーウェーブハンターズアマチュア無線クラブ
13-4-19,きゅうあ～るえるクラブ
13-4-35,シリウス・クラブ
13-4-40,さいたまアマチュア無線防災ネットワーク
13-4-43,埼玉アワードハンターズグループ
13-4-47,クラブ・スラッシュ
13-4-51,ＣＷ友の会アマチュア無線クラブ
13-4-55,仙台電波高専ＯＢクラブ
13-4-56,埼玉県医師会アマチュア無線クラブ
13-4-57,陣見アマチュア無線クラブ
13-4-58,彩の国Ｄ－ＳＴＡＲ　ＨＡＭ　ＣＬＵＢ
13-4-59,入間市アホウドリ無線クラブ
13-4-60,寝てはいけないコンテストクラブ
13-4-61,ＹＹＰ　ＣＬＵＢ
13-4-62,おいしいハムクラブ
13-4-63,関東あすなろＳＳハムクラブ
13-4-64,道の駅かぞわたらせアマチュア無線クラブ
13-4-65,ニブンノイチハムクラブ
13-4-67,全国金融機関アマチュア無線クラブ
13-4-68,久喜市アマチュア無線災害時協力会
13-4-69,埼玉秋ヶ瀬ハムクラブ
13-5-1,日本ボーイスカウト川越第９団アマチュア無線クラブ
13-5-2,ボーイスカウト入間第４団アマチュア無線クラブ
14-1-1,日立アマチュア無線クラブ
14-1-2,水郷クラブ
14-1-6,東海村アトミックアマチュア無線クラブ
14-1-7,ＪＡＲＬ勝田クラブ
14-1-9,古河アマチュア無線クラブ
14-1-14,つくばねアマチュア無線クラブ
14-1-15,ルート５１アマチュア無線クラブ
14-1-17,水戸東アマチュア無線クラブ
14-1-18,土浦アマチュア無線クラブ
14-1-29,学園都市ハムクラブ
14-1-49,大子アマチュア無線クラブ
14-1-52,牛久ハムクラブ
14-1-58,那珂市ボランティアＨＡＭクラブ
14-1-59,常陸大宮市アマチュア無線クラブ
14-1-60,日立諏訪アマチュア無線クラブ
14-1-61,潮来アマチュア無線クラブ
14-1-62,水郷クラブ元祖
14-2-3,茨城県立下館工業高等学校アマチュア無線クラブ
14-2-16,茗溪学園科学部無線工学班
14-2-18,茨城県立八千代高等学校アマチュア無線クラブ
14-2-20,筑波大学電気通信研究会
14-3-12,常陸太田市役所アマチュア無線クラブ
14-3-13,ＦＭぱるるんＡＭＣ
14-4-3,西茨城ハムクラブ
14-4-14,レディーバードクラブ
14-4-22,ＪＡＲＬ茨城クラブ
14-4-31,ＭＬウェーブクラブ
14-4-32,筑南アマチュア無線クラブ
14-4-34,ＥＡＳＴ　ＪＡＰＡＮ　Ｄ－ＳＴＡＲ　アマチュア無線クラブ
15-1-5,宇都宮無線クラブ
15-1-9,益子アマチュア無線クラブ
15-3-3,宇都宮電子アマチュア無線クラブ
15-4-5,関東ヤングハムクラブ
16-1-2,渋川アマチュア無線クラブ
16-1-5,前橋アマチュア無線クラブ
16-1-11,赤城南面アマチュア無線クラブ
16-1-15,安中アマチュア無線クラブ
16-1-18,太田アマチュア無線クラブ
16-1-22,桐生ハムクラブ
16-1-32,館林アマチュア無線クラブ
16-1-34,新田アマチュア無線クラブ
16-2-2,群馬工専アマ無線クラブ
16-3-6,群馬県庁アマチュア無線クラブ
16-3-9,大同特殊鋼渋川工場ＡＭＣ
16-3-12,スバルアマチュア無線クラブ群馬
16-4-9,群馬ＫＩＳＳクラブ
16-4-11,北関東ＳＳＢアマチュア無線クラブ
16-4-25,群馬県ＣＷクラブ
16-4-26,赤城山計画レピータ管理団体
16-4-29,関東エンターテイメンズクラブ
16-4-33,群馬ＡＲＤＦクラブ
16-4-35,GUNMA AMATEUR RADIO SOCIETY
16-4-36,群馬エコロジー無線クラブ
16-4-38,群馬コンテストクラブ
16-4-39,館林邑楽無線赤十字奉仕団
16-4-40,群馬県無線赤十字奉仕団
17-1-7,甲府盆地無線倶楽部
17-1-26,南アルプス市アマチュア無線クラブ
17-2-4,山梨大学アマチュア無線クラブ
17-4-4,甲府５１．４ＭＨｚアマチュア無線クラブ
17-4-19,山梨県無線赤十字奉仕団
17-4-20,貢ハムクラブ
17-4-21,山梨UHF/SHFアマチュア無線クラブ
17-4-22,山梨２０１８無線クラブ
18-1-2,静岡ＨＡＭクラブ
18-1-3,狩野川アマチュア無線クラブ
18-1-5,静岡ちゃっきりクラブ
18-1-6,浜松アマチュア無線クラブ
18-1-9,新浜松クラブ
18-1-10,島田ハムクラブ
18-1-11,志太ハムクラブ
18-1-13,伊豆伊東メリ五倶楽部
18-1-24,富士裾野アマチュア無線クラブ
18-1-35,はいばらハムクラブ
18-1-36,竹の子ハムクラブ
18-1-48,藤枝ひけしクラブ
18-2-5,静岡北高校ハムクラブ
18-2-14,静岡高校工学部
18-2-15,静岡県高等学校文化連盟無線専門部
18-3-2,静岡市役所アマチュア無線クラブ
18-3-12,静岡県警察アマチュア無線クラブ
18-4-1,ＪＭＨＣ静岡
18-4-11,浜松アクティブハムクラブ
18-4-17,静岡県無線赤十字奉仕団
18-4-23,芙蓉会アマチュア無線倶楽部
18-4-24,静岡県ＤＸ同好会
18-4-25,ふじのくに静岡アマチュア無線グループ
18-4-26,静岡コンテストを支える会志太支部
18-4-27,浜松ラジオ倶楽部
18-4-28,ジェイ・シーず
18-4-29,Radio Sports Fuji
18-4-30,静岡電信を楽しむ会
18-5-1,静岡大学工学部浜松 Rain 房　アマチュア無線クラブ・キッズ班
19-1-6,各務原アマチュア無線クラブ
19-1-15,ボイスオブヒダハムクラブ
19-1-34,岐阜友愛ハムクラブ
19-1-35,岐阜中濃ハムクラブ
19-1-36,川辺町防災ハムクラブ
19-1-37,アマチュア無線大垣クラブ
19-1-38,下呂市アマチュア無線クラブ
19-1-39,ぎふEMGネットワーク
19-4-5,岐阜７６クラブ
19-4-17,岐阜WiRESハムクラブ
19-4-18,七宗ハムクラブ
19-4-19,Ｍｏｒｓｅ　ｊａｐａｎ－Ｇｉｆｕ
19-4-20,アマチュア無線スカイパイレーツクラブ
19-4-21,岐阜日赤アマチュア無線奉仕団
19-4-22,SPC
20-1-1,岡崎アマチュア無線クラブ
20-1-4,みどりアマチュア無線クラブ
20-1-6,愛北アマチュア無線クラブ
20-1-9,蒲郡アマチュア無線クラブ
20-1-11,春日井アマチュア無線クラブ
20-1-13,西尾アマチュア無線クラブ
20-1-14,名古屋北部アマチュア無線クラブ
20-1-27,金鯱ハムクラブ
20-1-38,クラブ２００１
20-1-43,ＪＡＣ知多ハムクラブ
20-1-54,ダミーロードクラブ
20-1-57,アマチュア無線クラブ　ロクマル学校
20-1-60,田原アマチュア無線クラブ
20-1-65,蒲郡ハムクラブ
20-1-66,東浦アマチュア無線クラブ
20-1-67,長久手市アマチュア無線クラブ
20-2-10,名古屋大学アマチュア無線研究会
20-2-16,中部大学無線部
20-2-18,名古屋工業高等学校無線局
20-2-19,南山高等・中学校男子部アマチュア無線同好会
20-2-20,愛知県立旭丘高等学校電気部
20-3-20,ドコモ東海アマチュア無線クラブ
20-3-22,名古屋第二赤十字病院アマチュア無線クラブ
20-3-23,名古屋大学教職員無線クラブ
20-3-24,デンソーアマチュア無線クラブ
20-3-26,豊田合成アマチュア無線クラブ
20-3-27,ボランタリオ・フジタ無線クラブ
20-4-1,東海女性同好会
20-4-11,６メーターバンド監視同盟
20-4-21,東海地区２ｍＳＳＢ愛好会
20-4-23,東海１０ｍＦＭ愛好会
20-4-25,東別院アマチュア無線研究会
20-4-41,防災パ・ケッタハムクラブ
20-4-42,名古屋デジタル通信懇談会
20-4-43,愛知２ｍＳＳＢ愛好会
20-4-44,日本ボーイスカウト愛知連盟無線局
20-4-48,クラブ・スリーＡ
20-4-49,６ｍＡＭ愛好会
20-4-50,愛知県赤十字無線奉仕団
20-4-51,弥富防災ハムクラブ
20-4-52,日進市防災ハムクラブ
20-4-53,モリコロアマチュア無線クラブ
20-4-54,ＶｏＩＰデジタルネット
20-4-56,東海市非常通信協力会
20-4-57,愛知工業大学名電高等学校同窓会アマチュア無線クラブ
20-4-58,阿久比アマチュア無線　非常通信連絡会
20-4-59,愛知コンテストクラブ
20-4-60,難破船ハムクラブ
20-4-61,三河防災無線クラブ
20-4-63,アマチュア無線サポーターズ豊田
20-4-64,名古屋工学院専門学校アマチュア無線クラブOB同窓会
20-4-65,ふじのはなアマチュア無線クラブ
20-4-66,中京アマチュア無線クラブ
20-4-67,Radio Supreme
21-1-1,桑名アマチュア無線クラブ
21-1-3,伊勢パールハムクラブ
21-1-12,ＪＡＲＬ員弁アマチュア無線クラブ
21-1-17,熊野無線クラブ
21-1-22,名張アマチュア無線クラブ
21-1-27,いせわんハムラジオ
21-1-36,明和町アマチュア無線クラブ
21-4-1,津平治クラブ
21-4-12,Ｓｏｕｔｈｅｒｎ　Ｍｉｅ　Ａ．Ｒ．Ｃ
21-4-21,日赤三重県支部アマチュア無線クラブ
21-4-34,三重電信会 JE2YOK Morse Mie
21-4-35,三重コンテスターズクラブ
21-4-37,三重２ｍＳＳＢ愛好会
21-4-42,伊賀広域防災アマチュア無線連絡協議会
21-4-43,伊勢市アマチュア無線災害ネットワーク
21-4-44,クラブろくまる桑名
22-1-2,日本アマチュア無線連盟京都クラブ
22-1-12,八幡アマチュア無線クラブ
22-2-9,国立舞鶴高専アマチュア無線クラブ
22-2-10,ノートルダム女学院中学高等学校アマチュア無線クラブ
22-3-2,京セラアマチュア無線
22-4-10,宇治アマチュア無線クラブ
22-4-13,京都ＣＷ愛好会
22-4-22,京都２ｍＳＳＢｅｒ’ｓグループ
22-4-47,京都無線クラブ
22-4-49,ＪＡＲＬ京都非常通信協議会
22-4-50,京丹後市アマチュア無線災害ボランティア
22-4-51,平安京クラブ
22-4-52,立命館大学無線研究会ＯＢ会
22-4-53,ぷくぷくハムクラブ
22-4-56,SUGINOKO　Field　Radio
23-1-2,湖北ハムクラブ
23-1-3,いちろくいちクラブ
23-1-4,湖南クラブ
23-4-14,Ｈｕｎｇｒｙ　Ｈｅａｒｔｓ
23-4-15,滋賀２ｍＳＳＢ愛好会
23-4-17,てんいちハムクラブ
23-4-18,ジャパンコンテスターズクラブ
24-1-1,ＪＡＲＬ奈良クラブ
24-1-2,生駒アマチュア無線クラブ
24-1-3,アマチュア無線若草山クラブ
24-1-7,葛城ハムクラブ
24-1-13,桜井ハムクラブ
24-2-2,奈良育英学園情報技術部
24-3-1,近鉄葛城山クラブ
