id,大会名,年,rule_view,不足項目,公式規約URL,URL監査,監査メモ,participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat,表示内容の根拠,今回の修正,不明点
all_ja0_35,ALL JA0 3.5MHzコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://jarl-nn.asama-net.com/index.php?html_id=00000510,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_ja0_7,ALL JA0 7MHzコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://jarl-nn.asama-net.com/index.php?html_id=00000510,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_ja4,第4回オールJA4コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",http://ja4test.mydns.jp/ja4test_04.html,登録済,呼出確認: 電信 CQ JA4 TEST／電話 CQオールJA4コンテスト または CQ JA4コンテスト,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_ja5,ALL JA5コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/shikoku/oa-08/index.html,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_ja8,2026 ALL JA8コンテスト,2026,1/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,exchange,repeat",https://jarl.hokkaido.jp/wp-content/uploads/2026/04/6983fec72be466a5b0f356b6234f10b2.pdf,登録済,呼出確認: 電信 CQ JA8 TEST／電話 CQ JA8コンテスト,,,,,,,常置場所を離れてコンテスト参加のために移動するシングルオペは、運用開始時のマルチプライヤー内で場所変更を認められます。年代別符号はマルチオペがM、年代非公開を希望する場合はXです。10代・符号Aの参加者には奨励賞があります。その他の交信禁止事項はJARLコンテスト規約によります。,,,docs/contest-research/sources/all_ja8_2026.txt,特殊なルール・提出時の注意を追加,"participants,power,movement,call_method,counterparts,frequency,exchange,repeat"
all_ja,ALL JAコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.org/Japanese/1_Tanoshimo/1-1_Contest/allja_rules.html,登録済,呼出確認: 電話 CQコンテスト（またはCQ JAコンテスト）／電信 CQ TEST（またはCQ JA TEST）,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_ja_cg,全市全郡コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.org/Japanese/1_Tanoshimo/1-1_Contest/acag_rules.html,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_kanagawa,第55回オール神奈川コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarlkn.info/application/files/9917/7020/6189/55.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_kumamoto,2026オール熊本コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/kmtest/2026allkumamotoreg.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_kushiro,第45回オール釧根コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/senkon/kn_pdf/45con_%E8%A6%8F%E4%BF%AE%E6%AD%A33_1.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_kyushu,第47回オール九州コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/kyushu/contest/４７規約.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_mie_33,第49回オール三重33コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.ztv.ne.jp/isoda/33/annual/49/49rule.pdf,登録済,呼出確認: 県内 CQ ME TEST／県人 CQ MEJ TEST／県外 CQ MEX TEST（電話版も区分あり）,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_miyagi,第47回オール宮城コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://ja7rl.sakura.ne.jp/2026MG.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_okayama,オール岡山コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/okayama/oy-test-rule-2026.html,登録済,呼出確認: 電信・RTTY 県内 CQ OY TEST／県外 CQ OYX TEST、電話 CQ岡山コンテスト,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_okayama_ft,オール岡山FT8/FT4,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/okayama/oy-ft8-test-rule-2026.html,登録済,呼出確認: CQ OYT,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_osaka,オール大阪コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://ja3ujr.sakura.ne.jp/jarlosaka/contest/kiyaku2026.html,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_saga,オール佐賀コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www4.hp-ez.com/hp/jarlsaga/page10,登録済,呼出確認: 電話 CQ佐賀コンテスト／電信 CQ SAGA TEST,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_saitama,オール埼玉コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/allst/rule/44st.pdf,登録済,呼出確認: 電話 CQ埼玉コンテスト／電信 県内 CQ ST TEST・県外 CQ STX TEST,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_tohoku,第75回オール東北コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/tohoku/7contest/2026JA7TEST.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_tottori,オール鳥取コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/tottori/files/2026tttest_rules.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-160-cw,CQ World Wide 160 Meter CW,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cq160.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-160-ssb,CQ World Wide 160 Meter SSB,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cq160.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-vhf-digi,CQ World Wide VHF Digital,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqww-vhf.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-vhf-ssbcw,CQ World Wide VHF SSB/CW/FM,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqww-vhf.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-wpx-cw,CQ World Wide WPX CW,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqwpx.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-wpx-rtty,CQ World Wide WPX RTTY,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqwpxrtty.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-wpx-ssb,CQ World Wide WPX SSB,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqwpx.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-ww-cw,CQ World Wide CW,2025,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqww.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-ww-rtty,CQ World Wide RTTY,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqwwrtty.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
cq-ww-ssb,CQ World Wide SSB,2025,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://cqww.com/rules.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
field_day,フィールドデーコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.org/Japanese/1_Tanoshimo/1-1_Contest/fd_rules.html,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
fukuoka,福岡コンテスト,2026,8/9 明示登録,restrictions,,URL未登録,URL未登録。JARL福岡県支部公式2026規約あり,日本国内のアマチュア局。県内・県外の区分は実際の運用場所によります。クラブ局を1人で運用した場合はシングルオペ。,移動しない局は100W以内、移動する局は50W以内。,移動局は50W以内。県内・県外の区分は実際に運用する場所で決まります。,"県内局：電話 CQ 福岡コンテスト／電信 CQ FO TEST
県外局：電話 CQ 福岡コンテストこちらは県外局／電信 CQ FOX TEST",福岡県内局との交信は3点、県外局との交信も1点。県外局同士の交信も得点対象です。,1.8～430MHz帯（WARCバンドを除く）。JARL制定のコンテスト周波数に従います。,,県内局：RS(T)＋市郡区ナンバー。県外局：RS(T)＋JARL制定の都府県・地域等ナンバー。,同一局との同一バンドの交信は電信・電話それぞれ1交信ずつ有効。バンドが異なればそれぞれ有効。,docs/contest-research/sources/fukuoka_2026.pdf (利用者添付・公式規約),表示専用データ追加,restrictions / 2026公式URL未特定（保存済み利用者提供規約を使用）
gigahertz,ギガヘルツコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/08test/contest/2026/ghz/rule.html,登録済,呼出確認: 電信 CQ GHZ TEST／電話 CQギガヘルツコンテスト,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
hiroshima_was,広島WASコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://hs-contest.org/was-2026-rule/,登録済,呼出確認: 電信・デジタル CQ WAS TEST／電話 CQ WASコンテスト または CQ広島コンテスト,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
iburi_hidaka,胆振日高コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",http://lake-toya.jp/iburihidaka/wp-content/uploads/2026/06/%E7%AC%AC51%E5%9B%9E%E8%83%86%E6%8C%AF%E6%97%A5%E9%AB%98%E6%94%AF%E9%83%A8%E3%82%B3%E3%83%B3%E3%83%86%E3%82%B9%E3%83%88%E8%A6%8F%E7%B4%84.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
ishikari,2026石狩後志支部コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://isb.jarl.pro/2026/05/12/post-1624/,登録済,呼出確認: 電信 CQ ISB TEST／電話 CQ石狩後志支部コンテスト,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
iwate_winter,第4回いわてWINTERコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://jarl-iwate.com/wp-content/uploads/51ea8f1a1ed0bc896ab5d5812937aeb2.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
ja0_vhf,第63回JA0-VHFコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/zerocontest/rule2026/ja0vhf2026.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
ja9_hf_cw,JA9コンテストHF 電信,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/hokuriku/CONTEST/規約/2026/JA9コンテストHF2026規約.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
ja9_hf_phone,JA9コンテストHF 電話,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/hokuriku/CONTEST/規約/2026/JA9コンテストHF2026規約.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
ja9_vu,JA9コンテストVU,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/hokuriku/CONTEST/規約/2026/JA9コンテストVU2026規約.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
jarl_world_wide_rtty,JARL World Wide RTTY,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.org/Japanese/1_Tanoshimo/1-1_Contest/rtty_rules.html,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kagoshima,第36回鹿児島コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/kagoshima/contest/26/kiyaku.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kamikawa_souya,第10回上川宗谷支部コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/kamikawa/contest/2026KSContest.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kanagawa_emergency,第44回非常通信訓練コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarlkn.info/application/files/6917/7020/6189/44.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kansai_vus,関西V・U・Sコンテスト（旧・関西VHF）,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.eonet.ne.jp/~ja3-test/kiyaku/ja3test_2026kiyaku.files/sheet001.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kcj-topband,第42回KCJトップバンドコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://kcj-cw.com/contest/rule/2026_42_top_ja_t.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kcj,第47回KCJコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://kcj-cw.com/contest/rule/2026_47_kcj_ja_t.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kcwa_cw,第42回KCWA CWコンテスト,2025,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://kcwa.sakura.ne.jp/2025/contest42/20251207CONTEST.html,登録済,ルール年度は2025。第42回（2025-12-07）として意図的なら維持,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
kyoto,第70回京都コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://je3zpz.ampr.org/kt_test/kt70-kiyaku.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
miyazaki,第50回宮崎コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/mztest/contest2026kiyaku.html,登録済,呼出確認: 電信 県内 CQ MZ TEST／県外 CQ MZG TEST／県人 CQ MZK TEST,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
nagasaki,2026長崎県コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/nagasaki/nstest/2026ntst.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
nara_vuhf,第52回JARL奈良県支部V・UHFコンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://jarl-nara.com/cont_26.htm,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
niigata_branch,第26回新潟コンテスト（7MHz・ハイバンド）,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/08test/contest/2026/niigata/rule.html,登録済,呼出確認: 電信 県内 CQ NI TEST／県外 CQ NIX TEST、電話は県内外区分あり,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
niigata_low_band,第26回新潟コンテスト（ローバンド1.9/3.5MHz）,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/08test/contest/2026/niigata/rule.html,登録済,呼出確認: 電信 県内 CQ NI TEST／県外 CQ NIX TEST、電話は県内外区分あり,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
