順,大会ID,大会名,登録年度,登録規約URL,照合した規約URL・出典,保存資料,呼び出し方法,交信対象,大区分の出力制限,得点・デジタル・特別得点,留意点
27,all_saga,オール佐賀コンテスト,2026,https://www4.hp-ez.com/hp/jarlsaga/page10,https://www4.hp-ez.com/hp/jarlsaga/page10,all_saga_2026_web_extract.json,電話：CQ佐賀コンテスト／電信：CQ SAGA TEST,県内局：県内を含む日本全国の局。県外局：佐賀県内局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。同一バンドではSSBとFMなど同じ電話モード間は重複扱い。,
28,all_hyogo,オール兵庫コンテスト,2026,https://www.jarl.com/hyogo/contest/contest2026/2026-ALL-HG_rule.pdf,https://www.jarl.com/hyogo/contest/contest2026/2026-ALL-HG_rule.pdf,all_hyogo_2026.pdf,県内局：電信 CQ TEST／電話 CQ オール兵庫コンテスト。県外局：電信 CQ HG TEST／電話 CQ オール兵庫コンテスト。呼び出し時は運用地点を示し、県内外が区別できるよう配慮。,県内局：すべての局。県外局・SWL：兵庫県内で運用する局に限ります。,大会全体・大区分の追加上限は確認されず,ナンバーを完全に交換した交信は1点。県外局同士は無効。同一バンドの重複は電波型式を変えても得点になりません。,
29,all_chiba,オール千葉コンテスト,2026,http://jarl-chiba.info/2026test/2026info.pdf,http://jarl-chiba.info/2026test/2026info.pdf,all_chiba_2026.pdf,電信：県内局 CQ CB TEST／県外局 CQ CBX TEST。電話：県内局 CQ 千葉コンテスト／県外局 CQ 千葉コンテスト こちらは県外局。,県内局：国内すべてのアマチュア局。県外局：千葉県内のアマチュア局。,大会全体・大区分の追加上限は確認されず,県内局との交信は電信3点・電話2点。県内局から県外局への交信は電信2点・電話1点。県外局同士は0点。電信と電話は別々に得点可。電話にはデジタルモードを含みます。,
30,wakayama,第38回和歌山コンテスト,2026,https://www.jarl.com/wakayama/pdf/wk-test/contest38kiyaku.pdf,https://www.jarl.com/wakayama/pdf/wk-test/contest38kiyaku.pdf,wakayama_38.pdf,電信：県内局 CQ WK TEST IN／県外局 CQ WK TEST NI。電話：CQ 和歌山コンテストに「こちらは県内局／県外局」を付加。,県内局：国内全域。県外局：和歌山県内局のみ。,電話部門の全種目は10W以下。,完全な交信は1点。県外局同士は対象外。同一バンドの重複はモードを変えても得点になりません。,
31,all_saitama,オール埼玉コンテスト,2026,https://www.jarl.com/allst/rule/44st.pdf,https://www.jarl.com/allst/rule/44st.pdf,all_saitama_44.pdf,電話：県内局 CQ埼玉コンテスト／県外局 CQ埼玉コンテスト こちらは県外局。電信：県内局 CQ ST TEST／県外局 CQ STX TEST。,県内局・県外局とも埼玉県を含む全国内局。,大会全体・大区分の追加上限は確認されず,相手が埼玉県内局なら電信3点・電話2点、相手が県外局なら電信2点・電話1点。,
32,oita,第24回大分コンテスト,2026,https://jarl-oita.blogspot.com/2026/05/blog-post.html,https://jarl-oita.blogspot.com/2026/05/blog-post.html,oita_2026.html,電信：県内局 CQ OT TEST／県外局 CQ OTG TEST／県人局 CQ OTJ TEST。電話：CQ 大分コンテストの後に自局の局区分を明示。,県内局・県人局：国内のアマチュア局。県外局：大分県内局と県人局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。電話のSSB・AM・FM・DV・DMR等は異なるモードならそれぞれ得点可。CW以外のデータ通信（FT4・FT8・パケット等）は得点になりません。,
33,all_osaka,オール大阪コンテスト,2026,https://ja3ujr.sakura.ne.jp/jarlosaka/contest/kiyaku2026.html,https://ja3ujr.sakura.ne.jp/jarlosaka/contest/kiyaku2026.html,all_osaka_2026.html,府内局：電信・デジタル CQ OSKO TEST／電話 CQ オール大阪コンテスト こちらは府内局。府外局：電信・デジタル CQ OSK TEST／電話 CQ オール大阪コンテスト。,府内局：日本国内のすべてのアマチュア局。府外局：大阪府内局。,大会全体・大区分の追加上限は確認されず,通常の完全な交信は1点。大阪府内のYL・20歳未満局でナンバーにYが付く局との交信は2点、JARL局でXが付く局は4点。府外局同士は0点。デジタル部門にRTTY・SSTVがあります。,
34,nara_vuhf,第52回JARL奈良県支部V・UHFコンテスト,2026,https://jarl-nara.com/cont_26.htm,,nara_vuhf_2026_rules.pdf,電信：CQ NR TEST（県内局は/NRで区別）。電話：CQ 奈良コンテスト（県内局は「こちらは奈良県内局」を付加）。,県内局：国内すべてのアマチュア局。県外局：奈良県内で運用する局のみ。,大会全体・大区分の追加上限は確認されず,ナンバーを完全に交換した有効交信は1点。同一バンドの同一局は電波形式を変えても1回のみ得点対象。,保存済み主催規約PDF。登録URLから参照。
35,all_miyagi,第47回オール宮城コンテスト,2026,https://ja7rl.sakura.ne.jp/2026MG.pdf,https://ja7rl.sakura.ne.jp/2026MG.pdf,all_miyagi_2026.pdf,県内局：電信 CQ MG TEST／電話 CQ 宮城コンテスト。県外局：電信 CQ MGX TEST／電話 CQ 宮城コンテスト こちらは県外局。,県内局：全国内局。県外局：宮城県内局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。同一バンドの電信・電話はそれぞれ得点可。,
36,miyazaki,第50回宮崎コンテスト,2026,https://www.jarl.com/mztest/contest2026kiyaku.html,https://www.jarl.com/mztest/contest2026kiyaku.html,miyazaki_2026.html,電話：CQ宮崎コンテストの後に県内・県外・県人局の区分。電信：県内局 CQ MZ TEST／県外局 CQ MZG TEST／県人局 CQ MZK TEST。,県内局：国内外のすべてのアマチュア局。県外局：宮崎県内局および県人局。,大会全体・大区分の追加上限は確認されず,ナンバーを完全に交換した交信は1点。同一バンドでは電波型式が異なっても1交信のみ有効。,
37,toyama_emergency,第49回富山県非常無線通信訓練コンテスト,2026,https://www.jarl.com/toyama/25ham/49OSO.pdf,https://www.jarl.com/toyama/25ham/49OSO.pdf,toyama_2026_detail.html,電信：CQ TEST または CQ TY TEST／電話：CQ コンテスト または CQ 富山コンテスト,県内局は国内のアマチュア局。県外局同士は得点にならず、県外局は富山県内局との交信が得点対象。,空中線電力は必要最小限。,完全な交信は1点。県外局同士は無得点。同一バンドでは電波形式が異なっても1交信のみ有効。,支部公式PDFで同内容を再照合。保存HTMLは主催クラブ掲載の転載。
38,oidemase_yamaguchi,第25回おいでませオール山口コンテスト,2026,https://jarl33yamaguchi.jimdofree.com/お知らせのコーナー/令和８年度の行事/第25回おいでませオール山口コンテスト規約/,user attachment:2026oiddemaseallyamaguchicontestrule.pdf,all_yamaguchi_2026.pdf,電話：CQ 山口コンテスト／電信：CQ YG TEST,山口県内局・中国地方局：国内すべての局。4エリア外局：4エリアの局。,大会全体・大区分の追加上限は確認されず,山口県内局との交信は2点、中国地方局・エリア外局との交信は1点。HF以外は同一バンドの電話と電信を別々に得点可。,
39,yamagata_sakuranbo,第8回山形さくらんぼQSOコンテスト,2026,https://jarlyamagata.ham-yamagata.com/wp-content/uploads/2026/02/n8-sakuranbo-annai.pdf,https://jarlyamagata.ham-yamagata.com/wp-content/uploads/2026/02/n8-sakuranbo-annai.pdf,yamagata_sakuranbo_2026.pdf,電話：県内局 CQ 山形コンテスト／県外局 CQ 山形コンテスト こちら県外局。電信：県内局 CQ YM TEST／県外局 CQ YMKG TEST。,山形県内局：国内局。県外局：山形県内局（県外局同士は無得点）。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。県外局同士と同一バンドの重複交信は得点になりません。デジタルモード交信は禁止。,
40,yamanashi,第21回山梨コンテスト,2026,http://www.jarl17.org/wp/wp-content/uploads/2026/03/%E7%AC%AC21%E5%9B%9E%E5%B1%B1%E6%A2%A8%E3%82%B3%E3%83%B3%E3%83%86%E3%82%B9%E3%83%88%E8%A6%8F%E7%B4%84.pdf,http://www.jarl17.org/wp/wp-content/uploads/2026/03/%E7%AC%AC21%E5%9B%9E%E5%B1%B1%E6%A2%A8%E3%82%B3%E3%83%B3%E3%83%86%E3%82%B9%E3%83%88%E8%A6%8F%E7%B4%84.pdf,yamanashi_2026.pdf,電話：CQ 山梨コンテスト（県内局は「こちらは県内局」を付けても可）。電信：CQ YN TEST（県内局はCQ YNN TEST、県外局はCQ YNG TESTも可）。,県内・県外局との国内交信。県外局同士の交信も有効ですが、山梨県内局との交信が少なくとも1局必要です。,大会全体・大区分の追加上限は確認されず,山梨県内局との完全な交信は3点、県外局とは1点。同一バンドでも電信と電話はそれぞれ1交信ずつ有効。,
41,all_gifu,第29回オール岐阜コンテスト,2026,https://jarl-gifu.up.seesaa.net/image/E7ACAC29E59B9EE382AAE383BCE383ABE5B290E9989CE382B3E383B3E38386E382B9E38388E383BBE8A68FE7B484.pdf,https://jarl-gifu.up.seesaa.net/image/E7ACAC29E59B9EE382AAE383BCE383ABE5B290E9989CE382B3E383B3E38386E382B9E38388E383BBE8A68FE7B484.pdf,all_gifu_2026_web_extract.txt,県内局：電信 CQ TEST／電話 CQコンテスト。県外局：電信 CQ GF／電話 CQ岐阜県。,県内局：国内の陸上アマチュア局。県外局：岐阜県内で運用する局。,大会全体・大区分の追加上限は確認されず,コンテストナンバーを完全に送受した交信は1点。,
42,all_okayama,オール岡山コンテスト,2026,https://www.jarl.com/okayama/oy-test-rule-2026.html,https://www.jarl.com/okayama/oy-test-rule-2026.html,all_okayama_2026.html,電信・RTTY：県内局 CQ OY TEST、県外局 CQ OYX TEST。電話：CQ岡山コンテスト（県内局は県内局であることをアナウンス）。,県内局：国内で運用するすべてのアマチュア局。県外局：岡山県内で運用するアマチュア局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。RTTYも参加対象。同一バンドの再交信はモードが異なっても1回のみ有効で、相手局ログとの照合が成立することが条件。,
43,iwate_winter,第4回いわてWINTERコンテスト,2026,https://jarl-iwate.com/wp-content/uploads/51ea8f1a1ed0bc896ab5d5812937aeb2.pdf,https://jarl-iwate.com/wp-content/uploads/51ea8f1a1ed0bc896ab5d5812937aeb2.pdf,iwate_winter.pdf,電話：CQいわてウィンターコンテスト／電信：CQ IW TEST（県内局は県内局であることを送出）。,国内すべてのアマチュア局。,許可された出力の範囲内。移動局は最大50W。,岩手県内局は県内局との交信1点・県外局2点。岩手県外局は県外局との交信1点・県内局2点。,
44,shimane,第46回島根対全日本コンテスト,2026,https://jarl-shimane.jimdofree.com/事業計画/,,shimane_2026.pdf,県内局：電話 CQオールジャパン／電信 CQ AJ TEST。県外局：電話 CQ島根／電信 CQ SN TEST。,島根県内局：日本国内の局。県外局：島根県内局。,大会全体・大区分の追加上限は確認されず,有効な交信は1点。県内外局が規定条件で島根県内へ移動してHF部門に参加した場合は移動得点1000点を加算。同一バンドでも電波形式が異なれば別交信として得点可。,保存済み2026年主催規約PDF。公式直リンク未特定。
45,hiroshima_was,広島WASコンテスト,2026,https://hs-contest.org/was-2026-rule/,https://hs-contest.org/was-2026-rule/,hiroshima_was_2026.html,電信・デジタル：CQ WAS TEST／電話：CQ WASコンテスト（またはCQ広島コンテスト）。,県内局・県外局とも交信対象。県外局同士と海外局との交信も有効。,大会全体・大区分の追加上限は確認されず,広島県内局との交信5点、県外局との交信1点。電信・電話・デジタルの各モード群は同一バンドでもそれぞれ1交信ずつ有効。,
46,gigahertz,ギガヘルツコンテスト,2026,https://www.jarl.com/08test/contest/2026/ghz/rule.html,https://www.jarl.com/08test/contest/2026/ghz/rule.html,gigahertz_2026.html,電信：CQ GHZ TEST／電話：CQギガヘルツコンテスト,信越管内局：日本国内のアマチュア局。信越管外局：信越管内で運用するアマチュア局。,大会全体・大区分の追加上限は確認されず,1200MHz帯1点、2400MHz帯2点、5600MHz帯以上5点。CW・SSB・FMで電波型式が異なれば同一バンドの同一局でも得点可。デジタルモードは対象外。,
47,niigata_branch,第26回新潟コンテスト（7MHz・ハイバンド）,2026,https://www.jarl.com/08test/contest/2026/niigata/rule.html,https://www.jarl.com/08test/contest/2026/niigata/rule.html,niigata_2026.html,電話：県内局 CQ 新潟コンテスト／県外局 CQ 新潟コンテスト こちら県外局。電信：県内局 CQ NI TEST／県外局 CQ NIX TEST。,県内局：日本国内のアマチュア局。県外局：新潟県内で運用するアマチュア局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。同一局・同一バンドでも電信と電話はそれぞれ1交信ずつ有効。,
48,niigata_low_band,第26回新潟コンテスト（ローバンド1.9/3.5MHz）,2026,https://www.jarl.com/08test/contest/2026/niigata/rule.html,https://www.jarl.com/08test/contest/2026/niigata/rule.html,niigata_2026.html,電話：県内局 CQ 新潟コンテスト／県外局 CQ 新潟コンテスト こちら県外局。電信：県内局 CQ NI TEST／県外局 CQ NIX TEST。,県内局：日本国内のアマチュア局。県外局：新潟県内で運用するアマチュア局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。同一局・同一バンドでも電信と電話はそれぞれ1交信ずつ有効。,
49,tokyo_cw,東京CWコンテスト,2026,https://jarltokyo.com/_media/contest/contest_rules_cw_ver20260826.pdf,https://jarltokyo.com/_media/contest/contest_rules_cw_ver20260826.pdf,tokyo_cw_2026.pdf,電信：CQ TK TEST,都内局・都外局との国内交信が得点対象。,大会全体・大区分の追加上限は確認されず,相手が東京都内局なら2点、都外局なら1点。電信部門のみ。,
50,tokyo_uhf,東京UHFコンテスト,2026,https://jarltokyo.com/_media/contest/contest_rules_uhf_ver20260826.pdf,https://jarltokyo.com/_media/contest/contest_rules_uhf_ver20260826.pdf,tokyo_uhf_2026.pdf,電信：CQ TK TEST／電話：CQトウキョウコンテスト。,都内局・都外局との国内交信が得点対象。,大会全体・大区分の追加上限は確認されず,相手が東京都内局なら2点、都外局なら1点。10GHz帯種目は10.1GHzと10.4GHzの得点・マルチを別々に計算します。,
51,tokyo,東京コンテスト,2026,https://jarltokyo.com/_media/contest/contest_rules_ver20240331.pdf,https://jarltokyo.com/_media/contest/contest_rules_ver20240331.pdf,tokyo_rules_20240331_for_2026.pdf,電信：CQ TK TEST／電話：CQトウキョウコンテスト。,都内局・都外局との国内交信が得点対象。,大会全体・大区分の追加上限は確認されず,相手が東京都内局なら2点、都外局なら1点。,登録PDFは2024年改訂。2026年の東京コンテスト当時の規約として参照。東京都支部では2027年改訂準備を告知。
52,tochigi,第28回栃木コンテスト,2026,https://www.jarl.com/tochigi/contest/28tochicon_1.pdf,https://www.jarl.com/tochigi/contest/28tochicon_1.pdf,tochigi_2026.txt,電話：CQ 栃木コンテスト,県内局・県外局とも全国内局との交信が有効。県外局同士の交信も対象。,大会全体・大区分の追加上限は確認されず,ナンバーを完全に交換した交信は1点。,
53,oshima_hiyama,第34回JARL渡島檜山支部コンテスト,2026,https://ohs.hokkaido.jp/wp-content/uploads/2026/07/第34回-JARL-渡島檜山支部コンテスト規約.pdf,https://ohs.hokkaido.jp/wp-content/uploads/2026/07/%E7%AC%AC34%E5%9B%9E-JARL-%E6%B8%A1%E5%B3%B6%E6%AA%9C%E5%B1%B1%E6%94%AF%E9%83%A8%E3%82%B3%E3%83%B3%E3%83%86%E3%82%B9%E3%83%88%E8%A6%8F%E7%B4%84.pdf,oshima_hiyama_2026.pdf,電話：CQ 渡島檜山支部コンテスト／電信：CQ OH TEST,管内局：国内のアマチュア局。管外局：渡島檜山管内で運用する局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。音声の電話はデジタル音声も有効。同一バンドの同一局はマルチが変わっても1交信のみ得点。,
54,shiga,第30回ALL滋賀コンテスト,2026,https://www.jarl.com/shiga/shiga_con.html,https://www.jarl.com/shiga/shiga_con.html,shiga_2026.html,電信：県内局 CQ SI TEST／県外局 CQ SHIGA TEST。電話：CQ 滋賀コンテスト（県内局は県内局であることを送出）。,日本国内のアマチュア局。,大会全体・大区分の追加上限は確認されず,滋賀県内局との完全な交信は5点、県外局は1点。ただしJL3ZKVとの完全な交信は6点。,
55,all_kumamoto,2026オール熊本コンテスト,2026,https://www.jarl.com/kmtest/2026allkumamotoreg.pdf,https://www.jarl.com/kmtest/2026allkumamotoreg.pdf,all_kumamoto_2026.pdf,電信：県内局 CQ KM TEST／県外局 CQ KMO TEST。電話：CQ 熊本コンテスト（県内局は「県内局」を送出）。,県内局：国内で運用するアマチュア局。県外局：熊本県内で運用するアマチュア局。,個人局・社団局とも100W以下。,各バンドで異なる局との完全な交信は1点。同一バンドの電信と電話はそれぞれ得点可。,
56,ishikari,2026石狩後志支部コンテスト,2026,https://isb.jarl.pro/2026/05/12/post-1624/,https://isb.jarl.pro/2026/05/12/post-1624/,ishikari_2026.html,電信：CQ ISB TEST／電話：CQ 石狩後志支部コンテスト,管内局：全国のアマチュア局。管外局：石狩後志支部管内局。,大会全体・大区分の追加上限は確認されず,管内局・管外局とも対象相手との完全な交信は1点。同一バンドでは電波形式を変えても1交信のみ有効。,
57,kanagawa_emergency,第44回非常通信訓練コンテスト,2026,https://www.jarlkn.info/application/files/6917/7020/6189/44.pdf,https://www.jarlkn.info/application/files/6917/7020/6189/44.pdf,kanagawa_emergency_44_2026.pdf,電話：県内局 CQ神奈川訓練／県外局 CQ神奈川訓練 こちらは県外局,県内局：すべての国内局。県外局：神奈川県内で運用する局。,大会全体・大区分の追加上限は確認されず,ナンバーを完全に交換した交信は1点。同一バンドの同一局は電波形式を変えても1交信だけ得点対象。,
58,all_kanagawa,第55回オール神奈川コンテスト,2026,https://www.jarlkn.info/application/files/9917/7020/6189/55.pdf,https://www.jarlkn.info/application/files/9917/7020/6189/55.pdf,all_kanagawa_2026.pdf,県内局：電信 CQ KN TEST／電話 CQ神奈川コンテスト。県外局：電信 CQ KNX TEST／電話 CQ神奈川コンテスト こちらは県外局。,県内局：すべての国内局。県外局：神奈川県内で運用する局。,電話部門の全種目は原則10W以下。50～430MHz帯は20W以下、1200MHz帯は1W以下、2400MHz帯は2W以下。,ナンバーを完全に交換した交信は1点。同一バンドの同一局は電波形式を変えても1交信のみ得点対象。,
59,fukuoka,福岡コンテスト,2026,,user attachment: 2026-20th-fukuoka-contest-regulations.pdf,fukuoka_2026.pdf,県内局：電話 CQ福岡コンテスト／電信 CQ FO TEST。県外局：電話 CQ福岡コンテスト こちらは県外局／電信 CQ FOX TEST。,県内局・県外局とも国内局との交信が得点対象です。県外局同士の交信も1点として扱います。,固定局100W以下、移動局50W以下。,福岡県内局との完全な交信は3点、県外局との交信は1点。同一バンドの電信と電話は各1交信ずつ有効。,主催規約のユーザー提供PDF。公開公式URLは未特定。
60,all_akita,第40回オール秋田コンテスト,2026,,user attachment: オール秋田2026規約.pdf,all_akita_2026.pdf,電信：県内局 CQ AT TEST／県外局 CQ ATG TEST。電話：CQ オール秋田コンテスト（県内局は県内局であることを送出）。,県内局：県内を含む全国の局。県外局：秋田県内の局。,制限なし,完全な交信は1点。同一バンドでも電信と電話はそれぞれ得点可。,主催規約のユーザー提供PDF。公開公式URLは未特定。
61,all_gunma,第54回オール群馬コンテスト,2026,https://agc.akagi76.com/wp-content/uploads/2026agcrule.pdf,https://agc.akagi76.com/wp-content/uploads/2026agcrule.pdf,all_gunma_2026.pdf,電信：県内局 CQ GM TEST／県外局 CQ GMO TEST。電話：CQ オール群馬コンテスト（県内局は群馬県を明示）。,県内局：県内・県外局。県外局：群馬県内局。,大会全体・大区分の追加上限は確認されず,電信の完全な交信は2点、電話は1点。同一バンドでは電波型式を変えても1交信のみ有効。,
62,iburi_hidaka,胆振日高コンテスト,2026,http://lake-toya.jp/iburihidaka/wp-content/uploads/2026/06/%E7%AC%AC51%E5%9B%9E%E8%83%86%E6%8C%AF%E6%97%A5%E9%AB%98%E6%94%AF%E9%83%A8%E3%82%B3%E3%83%B3%E3%83%86%E3%82%B9%E3%83%88%E8%A6%8F%E7%B4%84.pdf,http://lake-toya.jp/iburihidaka/wp-content/uploads/2026/06/%E7%AC%AC51%E5%9B%9E%E8%83%86%E6%8C%AF%E6%97%A5%E9%AB%98%E6%94%AF%E9%83%A8%E3%82%B3%E3%83%B3%E3%83%86%E3%82%B9%E3%83%88%E8%A6%8F%E7%B4%84.pdf,iburi_hidaka_2026.txt,電話：CQ 胆振日高コンテスト／CQ IHコンテスト／CQコンテスト。電信：CQ IH TEST。,管内局：国内のアマチュア局。管外局：胆振日高管内のアマチュア局。,大会全体・大区分の追加上限は確認されず,管内局・管外局とも対象相手との完全な交信は1点。,
63,all_kushiro,第45回オール釧根コンテスト,2026,https://www.jarl.com/senkon/kn_pdf/45con_%E8%A6%8F%E4%BF%AE%E6%AD%A33_1.pdf,https://www.jarl.com/senkon/kn_pdf/45con_%E8%A6%8F%E4%BF%AE%E6%AD%A33_1.pdf,all_kushiro_2026.pdf,電信：CQ SK TEST／電話：CQ オール釧根コンテスト,管内局：管内局を含む国内局。管外局・SWL：釧路・根室振興局管内のアマチュア局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。同一バンドの同一局は電波形式が違っても重複得点になりません。,
64,nagasaki,2026長崎県コンテスト,2026,https://www.jarl.com/nagasaki/nstest/2026ntst.pdf,https://www.jarl.com/nagasaki/nstest/2026ntst.pdf,nagasaki_2026.pdf,電信：県内局 CQ NS TEST／県外局 CQ NSX TEST。電話：CQ 長崎県コンテスト（県内局・県外局の区分を付加）。,県内局：日本国内のアマチュア局。県外局・SWL：長崎県内で運用するアマチュア局。,HFマルチバンドの電話部門は10W以下。,各バンドで異なる局との交信は1点。同一バンドでは電信・電話を変えても後の交信は重複扱い。,
65,all_ja0_160m,ALL JA0 1.8MHzコンテスト,2025,https://jarl-nn.asama-net.com/index.php?html_id=00000503,https://jarl-nn.asama-net.com/index.php?html_id=00000503,all_ja0_18_2025.html,公式規約に定型のCQ呼び出し指定なし。,国内局同士の交信が有効。,大会全体・大区分の追加上限は確認されず,0エリア管内局との交信3点、管外局との交信1点。登録大会は2025年の1.8MHz部門です。,
66,all_ja0_35,ALL JA0 3.5MHzコンテスト,2026,https://jarl-nn.asama-net.com/index.php?html_id=00000510,https://jarl-nn.asama-net.com/index.php?html_id=00000510,all_ja0_35_7_2026.html,公式規約に定型のCQ呼び出し指定なし。,国内局同士の交信が有効。,大会全体・大区分の追加上限は確認されず,0エリア管内局との交信3点、管外局との交信1点。,
